"library_id","genus","core_replicate","tech_replicate","n_reads"
"FLB45mA_ss4_1","f__VadinHA17","A","A_ss4_1",3006
"FLB45mA_ss4_2","f__VadinHA17","A","A_ss4_2",31882
"FLB45mB_ss4_1","f__VadinHA17","B","B_ss4_1",7433
"FLB45mB_ss4_2","f__VadinHA17","B","B_ss4_2",14392
"FLB57muA_ss4_1","f__VadinHA17","uA","uA_ss4_1",7513
"FLB00mA_ss4_1","f__Humimicrobiaceae","A","A_ss4_1",16153
"FLB00mA_ss4_2a","f__Humimicrobiaceae","A","A_ss4_2",2319
"FLB00mA_ss4_2b","f__Humimicrobiaceae","A","A_ss4_2",2770
"FLB00mB_ss4_1","f__Humimicrobiaceae","B","B_ss4_1",7794
"FLB01mA_ss4_1","f__Humimicrobiaceae","A","A_ss4_1",1181
"FLB01mB_ss4_1","f__Humimicrobiaceae","B","B_ss4_1",4663
"FLB03mA_ss4_1","f__Humimicrobiaceae","A","A_ss4_1",16161
"FLB03mA_ss4_2","f__Humimicrobiaceae","A","A_ss4_2",1325
"FLB05mA_ss4_1","f__Humimicrobiaceae","A","A_ss4_1",1378
"FLB05mA_ss4_2","f__Humimicrobiaceae","A","A_ss4_2",1832
"FLB05mB_ss4_1","f__Humimicrobiaceae","B","B_ss4_1",2351
"FLB05mB_ss4_2a","f__Humimicrobiaceae","B","B_ss4_2",2373
"FLB05mB_ss4_2b","f__Humimicrobiaceae","B","B_ss4_2",2640
"FLB05mB_ss4_3a","f__Humimicrobiaceae","B","B_ss4_3",1416
"FLB05mB_ss4_3b","f__Humimicrobiaceae","B","B_ss4_3",1367
"FLB06mA_ss4_1","f__Humimicrobiaceae","A","A_ss4_1",874
"FLB06mA_ss4_2","f__Humimicrobiaceae","A","A_ss4_2",826
"FLB06mB_ss4_1","f__Humimicrobiaceae","B","B_ss4_1",6674
"FLB06mB_ss4_2a","f__Humimicrobiaceae","B","B_ss4_2",3621
"FLB06mB_ss4_2b","f__Humimicrobiaceae","B","B_ss4_2",4680
"FLB08mA_ss4_1","f__Humimicrobiaceae","A","A_ss4_1",11999
"FLB08mA_ss4_2b","f__Humimicrobiaceae","A","A_ss4_2",1438
"FLB08mB_ss4_1","f__Humimicrobiaceae","B","B_ss4_1",374
"FLB08mB_ss4_2a","f__Humimicrobiaceae","B","B_ss4_2a",1125
"FLB10mA_ss4_1","f__Humimicrobiaceae","A","A_ss4_1",1074
