"library_id","genus","core_replicate","tech_replicate","n_reads"
"FLB10mB_ss4_1","Betula","B","B_ss4_1",39
"FLB10mB_ss4_2a","Betula","B","B_ss4_2",44
"FLB10mB_ss4_2b","Betula","B","B_ss4_2",33
"FLB10mB_ss4_3a","Betula","B","B_ss4_3",60
"FLB10mB_ss4_3b","Betula","B","B_ss4_3",53
"FLB10mSdA_ss4_1","Betula","dA","dA_ss4_1",299
"FLB10mSdA_ss4_2a","Betula","dA","dA_ss4_2",81
"FLB10mSdA_ss4_2b","Betula","dA","dA_ss4_2",103
"FLB12mA_ss4_1","Betula","A","A_ss4_1",28
"FLB13mNB_ss4_1","Betula","B","B_ss4_1",21
"FLB16mNdA_ss4_1","Betula","dA","dA_ss4_1",29
"FLB16mNdA_ss4_2a","Betula","dA","dA_ss4_2",234
"FLB16mNdA_ss4_2b","Betula","dA","dA_ss4_2",231
"FLB16mNdB_ss4_1","Betula","dB","dB_ss4_1",12
"FLB16mNdB_ss4_2","Betula","dB","dB_ss4_2",162
"FLB16mNuA_ss4_1","Betula","uA","uA_ss4_1",141
"FLB16mNuA_ss4_2","Betula","uA","uA_ss4_2",70
"FLB16mNuA_ss4_3","Betula","uA","uA_ss4_3",10
"FLB16mNuA_ss4_4","Betula","uA","uA_ss4_4",10
"FLB34mA_ss4_1","Betula","A","A_ss4_1",42
"FLB38mA_ss4_1","Betula","A","A_ss4_1",48
"FLB38mA_ss4_2a","Betula","A","A_ss4_2",75
"FLB38mA_ss4_2b","Betula","A","A_ss4_2",49
"FLB38mB_ss4_1","Betula","B","B_ss4_1",380
"FLB45mA_ss4_1","Betula","A","A_ss4_1",22
"FLB45mA_ss4_2","Betula","A","A_ss4_2",7
"FLB45mB_ss4_1","Betula","B","B_ss4_1",9
"FLB45mB_ss4_2","Betula","B","B_ss4_2",4
"FLB57muA_ss4_1","Betula","uA","uA_ss4_1",0
"FLB00mA_ss4_1","Geum","A","A_ss4_1",410
"FLB00mA_ss4_2a","Geum","A","A_ss4_2",695
"FLB00mA_ss4_2b","Geum","A","A_ss4_2",889
"FLB00mB_ss4_1","Geum","B","B_ss4_1",56
"FLB01mA_ss4_1","Geum","A","A_ss4_1",51
"FLB01mB_ss4_1","Geum","B","B_ss4_1",61
"FLB03mA_ss4_1","Geum","A","A_ss4_1",703
"FLB03mA_ss4_2","Geum","A","A_ss4_2",159
"FLB05mA_ss4_1","Geum","A","A_ss4_1",273
"FLB05mA_ss4_2","Geum","A","A_ss4_2",264
"FLB05mB_ss4_1","Geum","B","B_ss4_1",71
"FLB05mB_ss4_2a","Geum","B","B_ss4_2",145
"FLB05mB_ss4_2b","Geum","B","B_ss4_2",145
"FLB05mB_ss4_3a","Geum","B","B_ss4_3",108
"FLB05mB_ss4_3b","Geum","B","B_ss4_3",109
"FLB06mA_ss4_1","Geum","A","A_ss4_1",74
